LOCAL_IDENTIFIER,Z~x0<k,"vzo.""",+U@,A>.,hp!,>?64:,@wnsk>R,"U""r",&%)LTaWRb,r1Ng,|G},TSWm,r2Ng,maT_r,@V9,T\!,14W$Q,ZZw3=!t,.o<m,.b6nl,<!!,F'3Ku,~7*,MINDSPIKE_VERSION,9Z/5)2,%IiL7w,!;@Jw,fPqsI,ZVf,i]7V,Jv[i,";<""<i(T","Kj,",w-u:jN'qI,PZ8,jNhEum,]xq,v0rt3X,^%a;,b1oRb13,v1rt3X,0HU2N='U,ZrK,.6AvGp,3I\y,b2oRb13
0,0.9807393435834294,0.9583858198420424,0.004939980934409616,0.004939980934409616,,0.8655771456245522,-1.3672926298430033,0.5112754622007512,,-0.3297570302201191,10.51811785423239,0.3865405068230279,0.38350233105409337,sfer,0.0516609768510798,-1.2184535482119319,10.51811785423239,,0.23278674294016363,98.66301229588468,1702.3088055577236,kivskin,0.22907468820570256,,0.9550467490248272,1.0743180127155614,-2.1899217049785533,,1.2640086903004955,-0.7567639770159263,1.2640086903004955,0.9040175547613144,98.66301229588468,0.4923254800011819,0.5772790292331312,0.7617981913776972,,0.4765187290319962,0.464300306421891,-2.063554118562651,-0.5018272264411711,1.1945922205137307,0.006869524110811417,-1.028427774165958,-1.0614181710189095,9.63554222240185
1,0.24540143885209842,-0.5660555103961618,0.8159599085012466,,1.1942395689071446,,-1.9302015856133403,0.3224951317555307,-1.6065262505821456,-0.21625126672887843,7.176649968664013,0.7755026991602084,,,-0.5054528115843985,1.0645319963622561,7.176649968664013,1011.3890334458306,-0.3949813220947271,83.05994473553174,1011.3890334458306,kiv,,kristal,-1.0422690863226234,-0.29852497857775284,0.407403049403292,0.7010686099516037,,0.7405028849387885,-1.5815870764909061,-1.8865777795491683,83.05994473553174,0.4857843120311668,0.38470403848689416,0.6507040455199071,0.607506105106189,0.5904731805001743,,,0.6926423161594354,-0.23889312200111867,0.026094801463353058,1.4036617904083,0.7010686099516037,-5.965220341471507
2,0.18214497134125185,-0.8774614722410953,0.08452943912666933,0.08452943912666933,0.3652402750183186,,,0.7580648576151462,0.4734017670126386,0.2309355855527745,3.473553893563839,0.721642441150876,0.9195668750881808,black corru,0.5989354376310007,0.1431423091007603,,387.70206159721545,-0.10515936010654311,17.09832419550952,387.70206159721545,tir,0.26175495772024004,tonga,-0.9623156927902224,1.7267730993888017,1.4466909669737633,0.33524501836845344,0.831173855136291,-0.9629145366145374,,1.1693880662995335,,0.6760671784111242,0.3409760571181445,,,0.7286348413111224,0.36650364774985467,-6.313549410339983,0.5559996942101504,0.032132088465253374,0.7030493046860262,,0.33524501836845344,-7.597223937522416
3,0.9865544549442649,,0.8511153339852873,0.8511153339852873,2.872461303470727,0.6723690377912273,-0.8693419510846974,0.5701342078865511,-0.4534119387025933,-1.0384773519677597,4.029235372638976,,0.28931721657808446,sfer,,-3.1288256693191014,,1516.5483295405638,-0.5090785720055983,92.45225916156336,1516.5483295405638,qou,,ERROR,0.823689114663896,,0.4810096787808164,0.35518981589889487,-2.1425511255863645,-1.4777044863208497,-2.1425511255863645,-0.9602239318004365,92.45225916156336,0.433402509186233,0.270098757921462,0.7727587088669985,0.2763965377874368,,-1.4391991854887936,-1.3234934683897532,1.074201451041835,-0.4236736224350829,0.694801555259653,0.18093598981665293,0.35518981589889487,9.733239438863388
4,0.47361641355402895,-0.14318500224284567,0.13869581630795202,,-2.3259660262840405,0.33807022360285743,0.06869547356555737,0.7610051634503667,,-0.18470465514847553,9.884420994451345,0.4590098944113409,0.5519338701587896,sfer,-1.6736866897277085,-1.7573497958114566,9.884420994451345,1026.1342429580175,0.013073930444640574,,,kiv,,kristal,,-1.0223259885709424,0.2986831597593806,0.23910983603457026,0.13033702398454794,-1.343009131673197,0.13033702398454794,-1.2390304205864187,,,0.624538136264159,0.8043227026782916,1.555481451216607,0.6451885742630067,0.6045965760512039,-2.5226948477906843,-0.3318050297240533,-0.7686070370732329,,-1.00699785045302,0.23910983603457026,
5,,1.7236095003423983,0.8646755187429226,0.8646755187429226,0.2750937806644675,0.7122277071176252,-0.008261951044750608,0.8535993732148661,,,6.194463606290131,0.4346984147129773,0.24075181415955033,corruskivi,0.08037691368877967,-2.583168854510471,6.194463606290131,1034.520386969083,0.821888657190706,30.35226843971567,1034.520386969083,jut,-0.5918524447089543,ERROR,0.5144759263690345,-0.20862264234262473,-1.2132753695613958,,,0.6584694601216802,,1.0569800666987155,30.35226843971567,,0.6585985898978206,0.19512423756640018,1.4648725577270485,0.21441613169502732,,,,-0.28996602767562946,,-0.2538563862785168,0.7212386341245408,10.15857919675826
6,0.7973120887313976,-0.643319984908089,0.5857796936059294,0.5857796936059294,,0.20832138500348574,-0.9691193442983064,0.18863429064839077,-0.7218418699815102,0.34743538515412187,,0.5053150834930467,-0.5269751050378767,,-0.21490307135963682,,4.0145025477834295,,-1.0740960632170347,49.747310064555435,1521.4838222461426,jut,-1.1521585587643854,kristal,-1.2964383755849946,,0.21677770222492873,1.3263771870385654,-0.4575314015734986,0.6023450757744846,-0.4575314015734986,-0.30383000092020257,49.747310064555435,,0.40462384745412683,0.2458006319979963,-1.0975303777124221,1.9207002791777341,0.9844850024346564,5.096869721990087,-0.010882594257143243,0.8501619191974037,-0.5436677438753278,-0.090349177929988,1.3263771870385654,2.8089524998735387
7,0.631012252621898,-0.031411716482268565,0.1457196677079906,0.1457196677079906,1.6135811293327438,0.05577382903668904,0.5744814110418899,0.7825561524182137,-0.3216005895062237,-0.8351452424938682,3.340632215645596,0.2882681929863957,,sfer,,-0.12091371012817209,,891.6370128184532,,57.221089794562644,891.6370128184532,vel,-1.2321965490380524,kristal,-0.21436860700965885,0.9977603931717693,-0.8487892509067536,,-0.21231376190672208,-2.2001555284949883,-0.21231376190672208,1.4160205563801507,57.221089794562644,0.9230312436790602,0.7333891504012495,0.39542174792865215,-0.1454825837200121,0.28919230414317143,0.7671637003043661,,,,1.173177995318456,-0.5171899100062307,1.245567088099405,-5.5828464145549725
8,0.16771946679903516,-0.5724877689086495,0.8032600149042091,0.8032600149042091,0.532158734379462,0.8565618926846152,-0.19801817175660144,,-0.1250261092254035,0.7135413386743222,9.410990598038884,0.11835913400537623,0.06344186884759942,corroyi,-0.05205051986578256,-0.44737091996263345,9.410990598038884,401.69481512230414,-0.21397805019462388,81.79445987564404,,qou,-0.16782037668726701,,-1.1824802293654153,0.033478937970421216,,-0.5306632932786901,-0.5360656399723265,-0.13522488366522703,-0.5360656399723265,-0.5083081659444799,81.79445987564404,0.43562015170382806,0.4086681157269886,,-0.9628404337205961,0.11710605484375945,1.5887979978524123,5.680751029636558,,0.11916471566231716,1.268049324066344,0.5106359672572351,,2.0016898358275426
9,,0.8820269948356478,,0.6680602906989623,1.0140979098595042,0.055372668916179646,-0.5412789534391684,,,,3.2283494920688707,0.6720826252445783,0.5847903363305598,corro,,-1.1262656410330703,3.2283494920688707,1306.979500451272,0.5226184687001415,50.20637296707447,,tir,,tonga,-1.0103072651172829,0.7866426737054224,-1.080066270746766,-0.2199644234600412,-0.3631718977435101,-1.4473911822966332,-0.3631718977435101,-2.0747676457146516,50.20637296707447,0.9063453447142307,,0.47811500233450044,,0.9003024118561721,-0.020645030322385204,4.221611661368986,,0.2173224544046166,-0.8122130100356842,-0.09001901486693079,-0.2199644234600412,2.1692666241694676
